day,temp,humidity,time,minutes
1,22,45,4/5/2021 19:00,1140.316667
1,22,45,4/5/2021 19:02,1142.316667
1,21,46,4/5/2021 19:04,1144.316667
1,21,46,4/5/2021 19:06,1146.333333
1,22,47,4/5/2021 19:08,1148.333333
1,22,45,4/5/2021 19:10,1150.333333
1,21,46,4/5/2021 19:12,1152.333333
1,21,49,4/5/2021 19:14,1154.35
1,21,49,4/5/2021 19:16,1156.35
1,24,39,4/5/2021 19:18,1158.35
1,24,41,4/5/2021 19:20,1160.35
1,24,41,4/5/2021 19:22,1162.366667
1,23,43,4/5/2021 19:24,1164.366667
1,23,44,4/5/2021 19:26,1166.366667
1,22,46,4/5/2021 19:28,1168.383333
1,23,43,4/5/2021 19:30,1170.383333
1,23,43,4/5/2021 19:32,1172.383333
1,23,43,4/5/2021 19:34,1174.383333
1,23,43,4/5/2021 19:36,1176.4
1,23,43,4/5/2021 19:38,1178.4
1,23,39,4/5/2021 19:40,1180.4
1,23,41,4/5/2021 19:42,1182.416667
1,25,38,4/5/2021 19:44,1184.416667
1,25,36,4/5/2021 19:46,1186.416667
1,24,40,4/5/2021 19:48,1188.433333
1,24,41,4/5/2021 19:50,1190.433333
1,23,44,4/5/2021 19:52,1192.433333
1,22,46,4/5/2021 19:54,1194.433333
1,23,46,4/5/2021 19:56,1196.433333
1,23,44,4/5/2021 19:58,1198.45
1,22,44,4/5/2021 20:00,1200.45
1,22,43,4/5/2021 20:02,1202.45
1,24,42,4/5/2021 20:04,1204.466667
1,24,41,4/5/2021 20:06,1206.466667
1,23,41,4/5/2021 20:08,1208.466667
1,22,45,4/5/2021 20:10,1210.483333
1,22,46,4/5/2021 20:12,1212.483333
1,22,48,4/5/2021 20:14,1214.483333
1,22,48,4/5/2021 20:16,1216.483333
1,23,45,4/5/2021 20:18,1218.5
1,24,43,4/5/2021 20:20,1220.5
1,24,42,4/5/2021 20:22,1222.5
1,23,44,4/5/2021 20:24,1224.516667
1,23,44,4/5/2021 20:26,1226.516667
1,22,46,4/5/2021 20:28,1228.516667
1,21,47,4/5/2021 20:30,1230.516667
1,21,47,4/5/2021 20:32,1232.533333
1,21,47,4/5/2021 20:34,1234.533333
1,20,46,4/5/2021 20:36,1236.533333
1,20,47,4/5/2021 20:38,1238.55
1,20,47,4/5/2021 20:40,1240.55
1,21,46,4/5/2021 20:42,1242.55
1,20,50,4/5/2021 20:44,1244.55
1,21,50,4/5/2021 20:46,1246.55
1,21,48,4/5/2021 20:48,1248.566667
1,22,48,4/5/2021 20:50,1250.566667
1,21,50,4/5/2021 20:52,1252.566667
1,21,50,4/5/2021 20:54,1254.583333
1,21,49,4/5/2021 20:56,1256.583333
1,21,49,4/5/2021 20:58,1258.583333
2,21,44,4/6/2021 19:00,1140.85
2,21,44,4/6/2021 19:02,1142.85
2,21,45,4/6/2021 19:04,1144.85
2,21,44,4/6/2021 19:06,1146.85
2,20,43,4/6/2021 19:08,1148.866667
2,20,43,4/6/2021 19:10,1150.866667
2,21,44,4/6/2021 19:12,1152.866667
2,21,45,4/6/2021 19:14,1154.883333
2,21,45,4/6/2021 19:16,1156.883333
2,21,45,4/6/2021 19:18,1158.883333
2,21,45,4/6/2021 19:20,1160.883333
2,20,44,4/6/2021 19:22,1162.9
2,20,44,4/6/2021 19:24,1164.9
2,20,44,4/6/2021 19:26,1166.9
2,20,44,4/6/2021 19:28,1168.916667
2,20,45,4/6/2021 19:30,1170.916667
2,21,46,4/6/2021 19:32,1172.916667
2,21,46,4/6/2021 19:34,1174.933333
2,21,47,4/6/2021 19:36,1176.933333
2,20,45,4/6/2021 19:38,1178.933333
2,20,45,4/6/2021 19:40,1180.933333
2,20,44,4/6/2021 19:42,1182.95
2,20,45,4/6/2021 19:44,1184.95
2,20,45,4/6/2021 19:46,1186.95
2,20,45,4/6/2021 19:48,1188.95
2,21,56,4/6/2021 19:50,1190.966667
2,21,52,4/6/2021 19:52,1192.966667
2,21,55,4/6/2021 19:54,1194.966667
2,20,53,4/6/2021 19:56,1196.983333
2,20,52,4/6/2021 19:58,1198.983333
2,20,52,4/6/2021 20:00,1200.983333
2,19,50,4/6/2021 20:03,1203
2,19,49,4/6/2021 20:05,1205
2,20,59,4/6/2021 20:07,1207
2,20,55,4/6/2021 20:09,1209
2,20,57,4/6/2021 20:11,1211.016667
